13650	0.831308	0.532215	0.283951	0.135224	0.043403	0.009356	-0.001447	-0.010031	-0.005498	0.000965	-0.002942
13725	0.828414	0.529900	0.289931	0.141107	0.051890	0.010802	0.000386	-0.002701	0.003376	-0.002025	0.001736
13800	0.833719	0.540799	0.294078	0.126833	0.048418	0.021701	0.004630	0.008970	-0.007620	-0.010417	0.001736
13875	0.823013	0.504533	0.258584	0.110243	0.052276	0.016300	-0.000386	-0.003954	-0.000482	0.009163	-0.006655
13950	0.831790	0.530671	0.284819	0.130980	0.050347	0.022377	-0.001061	-0.006944	-0.002508	0.002894	-0.005739
14025	0.825135	0.520737	0.264371	0.105517	0.033758	0.009742	0.016686	0.001061	-0.002218	0.002218	0.000048
14100	0.833140	0.539255	0.295428	0.149691	0.075521	0.035880	0.019194	0.008198	0.005208	0.002025	0.005112
14175	0.835166	0.538580	0.286458	0.139371	0.054591	0.024016	0.011188	0.007813	-0.006462	0.002315	0.001784
14250	0.835069	0.542149	0.297357	0.135802	0.050154	0.012828	0.004340	-0.007620	-0.003762	-0.003858	0.001736
14325	0.837577	0.551601	0.307870	0.147762	0.068673	0.021798	-0.004919	0.001350	-0.005883	-0.008005	0.004581
14400	0.837674	0.557581	0.319059	0.168885	0.073688	0.024981	0.009934	0.005305	-0.000096	-0.010706	-0.000579
14475	0.835262	0.537326	0.277681	0.116416	0.046682	0.019869	0.016782	0.003858	0.009934	-0.002701	0.003713
14550	0.823978	0.522666	0.273052	0.123360	0.052758	0.020351	0.007523	0.003858	-0.002025	-0.002411	-0.000386
14625	0.813368	0.488908	0.233410	0.091532	0.032986	0.020448	0.004051	-0.012153	0.000868	0.004726	0.002604
14700	0.831019	0.535012	0.283758	0.126736	0.052855	0.022473	0.012442	0.003086	-0.006076	0.000579	0.002894
14775	0.822145	0.512442	0.259452	0.109664	0.035687	0.008102	0.003376	0.008005	-0.002604	-0.001061	-0.003569
14850	0.826100	0.516300	0.260513	0.114294	0.037230	0.004437	0.001833	-0.006076	-0.003858	0.008198	0.009742
14925	0.833816	0.535301	0.280575	0.120370	0.039255	0.005691	0.008198	0.002122	0.005112	0.004340	0.002267
15000	0.832851	0.549672	0.305363	0.150367	0.057774	0.018422	0.009356	0.004630	-0.001447	-0.008488	-0.005739
15075	0.830247	0.532215	0.280961	0.123167	0.044946	0.014853	0.005787	-0.000772	0.010995	-0.001736	-0.007620
15150	0.820602	0.507523	0.261671	0.108121	0.028260	0.006752	-0.005305	-0.002411	-0.001543	-0.001061	0.007330
15225	0.845968	0.567130	0.326775	0.158661	0.063754	0.027585	0.002508	-0.003762	0.002894	-0.008681	-0.001157
15300	0.839796	0.559703	0.333816	0.173997	0.079186	0.036941	0.014950	0.005401	0.003279	0.009356	-0.005787
15375	0.822145	0.511092	0.259742	0.109761	0.040413	0.012539	0.009838	0.002508	0.002315	-0.001543	0.005305
15450	0.839506	0.556231	0.309317	0.146316	0.056617	0.012153	0.007813	0.005015	-0.001254	0.004726	-0.001591
15525	0.833044	0.537519	0.285880	0.138503	0.059317	0.013407	-0.000096	-0.004147	0.004244	-0.001736	-0.014516
15600	0.842014	0.552373	0.304302	0.136188	0.048708	0.008584	-0.002604	-0.007427	-0.005208	0.007330	0.003376
15675	0.831887	0.545332	0.300637	0.146316	0.060089	0.031925	0.011478	0.009838	0.001736	-0.005594	0.000965
15750	0.830054	0.536748	0.288194	0.128472	0.046875	0.012346	0.005112	0.002218	-0.010802	-0.001640	0.010417
15825	0.839410	0.551698	0.306327	0.141107	0.061728	0.023920	0.005305	0.002411	0.002122	0.007234	-0.007716
15900	0.828125	0.532600	0.288677	0.124518	0.054591	0.011671	0.007813	-0.003954	-0.008391	-0.000772	0.005208
15975	0.833237	0.538677	0.290413	0.141686	0.053723	0.019483	0.006848	0.004244	-0.007330	0.007523	0.000675
16050	0.831308	0.540799	0.303627	0.161458	0.065490	0.024402	0.003472	0.002315	0.004051	0.004051	0.001591
