----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
2	5.34772894e-01	1.86678276e-02	-6.25913120e-01	3.49079540e-02
3	2.89344359e-01	2.33033628e-02	-1.24013774e+00	8.05385074e-02
4	1.34955371e-01	2.07114521e-02	-2.00281114e+00	1.53468898e-01
5	5.47509033e-02	1.51777660e-02	-2.90496141e+00	2.77214897e-01
6	1.93857031e-02	1.03208942e-02	-3.94321944e+00	5.32397206e-01
7	6.00702882e-03	7.53657950e-03	-5.11482503e+00	1.25462683e+00
8	1.62286702e-03	6.32454740e-03	-6.42356093e+00	3.89714457e+00
9	3.86509480e-04	5.72695869e-03	-7.85835416e+00	1.48171235e+01
10	9.79406400e-05	5.46185167e-03	-9.23114898e+00	5.57669592e+01
11	1.36064600e-05	4.90692669e-03	-1.12049659e+01	3.60632133e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_14.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30742149e-01	7.28765636e-03	-1.85435822e-01	8.77246491e-03
2	5.34783842e-01	1.86538873e-02	-6.25892647e-01	3.48811722e-02
3	2.89400094e-01	2.32813519e-02	-1.23994514e+00	8.04469397e-02
4	1.35033757e-01	2.07439763e-02	-2.00223048e+00	1.53620671e-01
5	5.47795300e-02	1.52059914e-02	-2.90443870e+00	2.77585284e-01
6	1.94327797e-02	1.03413847e-02	-3.94079396e+00	5.32161888e-01
7	6.00954928e-03	7.53513889e-03	-5.11440553e+00	1.25386090e+00
8	1.62356762e-03	6.27601429e-03	-6.42312932e+00	3.86557000e+00
9	3.91601980e-04	5.68640593e-03	-7.84526459e+00	1.45208815e+01
10	7.43928800e-05	5.41397929e-03	-9.50615032e+00	7.27755034e+01
11	2.79007800e-05	4.90033005e-03	-1.04868559e+01	1.75634160e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_15.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30750852e-01	7.25937548e-03	-1.85425346e-01	8.73833046e-03
2	5.34773085e-01	1.86338040e-02	-6.25912763e-01	3.48443191e-02
3	2.89424307e-01	2.32857691e-02	-1.23986148e+00	8.04554714e-02
4	1.35095736e-01	2.06970722e-02	-2.00177160e+00	1.53203002e-01
5	5.48642584e-02	1.51852264e-02	-2.90289317e+00	2.76778122e-01
6	1.94308355e-02	1.03799655e-02	-3.94089402e+00	5.34200676e-01
7	6.02133084e-03	7.59691803e-03	-5.11244697e+00	1.26166760e+00
8	1.64707712e-03	6.32032409e-03	-6.40875300e+00	3.83729700e+00
9	4.43905340e-04	5.76340356e-03	-7.71989922e+00	1.29834067e+01
10	8.86005000e-05	5.50386610e-03	-9.33137306e+00	6.21200343e+01
11	2.59254000e-06	4.91168477e-03	-1.28628725e+01	1.89454542e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_16.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30720060e-01	7.27920765e-03	-1.85462412e-01	8.76252783e-03
2	5.34704347e-01	1.86537491e-02	-6.26041307e-01	3.48860996e-02
3	2.89313681e-01	2.32923701e-02	-1.24024378e+00	8.05090516e-02
4	1.34946302e-01	2.06713538e-02	-2.00287834e+00	1.53182069e-01
5	5.47523668e-02	1.51134660e-02	-2.90493468e+00	2.76033108e-01
6	1.94182556e-02	1.02886655e-02	-3.94154165e+00	5.29844991e-01
7	6.05183362e-03	7.51940541e-03	-5.10739398e+00	1.24250035e+00
8	1.63077704e-03	6.28398107e-03	-6.41869867e+00	3.85336616e+00
9	4.13646520e-04	5.77383948e-03	-7.79049877e+00	1.39583901e+01
10	9.50104800e-05	5.41820260e-03	-9.26152336e+00	5.70274205e+01
11	6.12232400e-05	4.90463252e-03	-9.70098370e+00	8.01106332e+01

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_17.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30686898e-01	7.28114663e-03	-1.85502333e-01	8.76521184e-03
2	5.34621568e-01	1.86445472e-02	-6.26196131e-01	3.48742893e-02
3	2.89216027e-01	2.32556352e-02	-1.24058137e+00	8.04092201e-02
4	1.34915396e-01	2.06853001e-02	-2.00310739e+00	1.53320531e-01
5	5.46950594e-02	1.51266868e-02	-2.90598189e+00	2.76564044e-01
6	1.93524892e-02	1.03409899e-02	-3.94493423e+00	5.34349342e-01
7	5.98385696e-03	7.51858174e-03	-5.11868994e+00	1.25647752e+00
8	1.64619872e-03	6.26420077e-03	-6.40928645e+00	3.80525188e+00
9	3.80950760e-04	5.73267507e-03	-7.87284043e+00	1.50483361e+01
10	9.56785600e-05	5.45100794e-03	-9.25451632e+00	5.69720943e+01
11	8.53210000e-06	4.90168324e-03	-1.16716750e+01	5.74499037e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_18.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30722778e-01	7.26324301e-03	-1.85459140e-01	8.74328140e-03
2	5.34731839e-01	1.86419236e-02	-6.25989894e-01	3.48621913e-02
3	2.89363200e-01	2.33064578e-02	-1.24007263e+00	8.05439594e-02
4	1.35017759e-01	2.07168558e-02	-2.00234896e+00	1.53438007e-01
5	5.48235243e-02	1.52049007e-02	-2.90363590e+00	2.77342634e-01
6	1.94149677e-02	1.03408230e-02	-3.94171098e+00	5.32621182e-01
7	5.98958466e-03	7.51982024e-03	-5.11773321e+00	1.25548275e+00
8	1.60559890e-03	6.27022202e-03	-6.43425845e+00	3.90522316e+00
9	3.91012160e-04	5.72186200e-03	-7.84677190e+00	1.46334631e+01
10	4.08308200e-05	5.45901241e-03	-1.01060734e+01	1.33698329e+02
11	-3.17883600e-05	4.90147753e-03	nan	-1.54190953e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_19.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30785394e-01	7.24166812e-03	-1.85383768e-01	8.71665314e-03
2	5.34873857e-01	1.85573972e-02	-6.25724341e-01	3.46949042e-02
3	2.89514917e-01	2.31844877e-02	-1.23954846e+00	8.00804599e-02
4	1.35105318e-01	2.06508432e-02	-2.00170067e+00	1.52849965e-01
5	5.47816551e-02	1.51395419e-02	-2.90439990e+00	2.76361527e-01
6	1.94197551e-02	1.02872212e-02	-3.94146442e+00	5.29729706e-01
7	6.05467346e-03	7.54539778e-03	-5.10692483e+00	1.24621052e+00
8	1.64997676e-03	6.35131240e-03	-6.40699408e+00	3.84933446e+00
9	4.05522560e-04	5.75114827e-03	-7.81033405e+00	1.41820674e+01
10	8.28508400e-05	5.45534674e-03	-9.39846868e+00	6.58454004e+01
11	-1.25358200e-05	4.93808929e-03	nan	-3.93918330e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_20.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30727812e-01	7.27072099e-03	-1.85453080e-01	8.75223014e-03
2	5.34750366e-01	1.86179316e-02	-6.25955246e-01	3.48161176e-02
3	2.89376194e-01	2.32529942e-02	-1.24002773e+00	8.03555879e-02
4	1.35035356e-01	2.06947993e-02	-2.00221864e+00	1.53254673e-01
5	5.48148124e-02	1.51348111e-02	-2.90379482e+00	2.76108053e-01
6	1.94287088e-02	1.03361316e-02	-3.94100347e+00	5.32003009e-01
7	6.01514530e-03	7.56022382e-03	-5.11347477e+00	1.25686470e+00
8	1.60380534e-03	6.33046177e-03	-6.43537614e+00	3.94715095e+00
9	4.03391160e-04	5.74752156e-03	-7.81560385e+00	1.42480107e+01
10	6.12431000e-05	5.45378567e-03	-9.70065937e+00	8.90514306e+01
11	9.28534000e-06	4.93071290e-03	-1.15870737e+01	5.31021255e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_21.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30686737e-01	7.25405622e-03	-1.85502526e-01	8.73260147e-03
2	5.34628883e-01	1.86307819e-02	-6.26182449e-01	3.48480647e-02
3	2.89243226e-01	2.32855880e-02	-1.24048733e+00	8.05052145e-02
4	1.34912164e-01	2.06879260e-02	-2.00313135e+00	1.53343668e-01
5	5.47393140e-02	1.51836104e-02	-2.90517311e+00	2.77380356e-01
6	1.93671489e-02	1.03492343e-02	-3.94417700e+00	5.34370565e-01
7	5.97433202e-03	7.54826273e-03	-5.12028298e+00	1.26344882e+00
8	1.63966032e-03	6.32942736e-03	-6.41326618e+00	3.86020646e+00
9	4.07616000e-04	5.70209520e-03	-7.80518500e+00	1.39888895e+01
10	1.02491080e-04	5.45647173e-03	-9.18573479e+00	5.32385036e+01
11	7.28306000e-06	4.92483389e-03	-1.18299595e+01	6.76203944e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_22.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30733173e-01	7.24327186e-03	-1.85446627e-01	8.71913160e-03
2	5.34725522e-01	1.86168884e-02	-6.26001707e-01	3.48157842e-02
3	2.89320651e-01	2.32565989e-02	-1.24021969e+00	8.03834735e-02
4	1.34957113e-01	2.06374254e-02	-2.00279823e+00	1.52918398e-01
5	5.46973227e-02	1.51071503e-02	-2.90594052e+00	2.76195425e-01
6	1.93873588e-02	1.03346221e-02	-3.94313403e+00	5.33059823e-01
7	6.00448850e-03	7.57164759e-03	-5.11524801e+00	1.26099793e+00
8	1.66272436e-03	6.31242041e-03	-6.39929784e+00	3.79643226e+00
9	4.04285480e-04	5.80533652e-03	-7.81338930e+00	1.43594980e+01
10	8.48481600e-05	5.47351852e-03	-9.37464725e+00	6.45095724e+01
11	-5.11886600e-05	4.91550058e-03	nan	-9.60271393e+01

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_23.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30752232e-01	7.27243630e-03	-1.85423685e-01	8.75403763e-03
2	5.34791026e-01	1.86405403e-02	-6.25879213e-01	3.48557463e-02
3	2.89360384e-01	2.32786079e-02	-1.24008236e+00	8.04484969e-02
4	1.34985362e-01	2.06717081e-02	-2.00258893e+00	1.53140368e-01
5	5.47341045e-02	1.50968606e-02	-2.90526828e+00	2.75821825e-01
6	1.93253726e-02	1.03269630e-02	-3.94633640e+00	5.34373291e-01
7	5.95792762e-03	7.55758034e-03	-5.12303257e+00	1.26849147e+00
8	1.55543944e-03	6.28197473e-03	-6.46599718e+00	4.03871380e+00
9	3.59501800e-04	5.76343768e-03	-7.93079137e+00	1.60317353e+01
10	5.59508000e-05	5.43653588e-03	-9.79103782e+00	9.71663654e+01
11	2.80497000e-05	4.90539610e-03	-1.04815326e+01	1.74882302e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_24.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30737045e-01	7.29332137e-03	-1.85441966e-01	8.77933807e-03
2	5.34749287e-01	1.87012903e-02	-6.25957265e-01	3.49720715e-02
3	2.89389395e-01	2.33729856e-02	-1.23998211e+00	8.07665587e-02
4	1.35008040e-01	2.07354113e-02	-2.00242094e+00	1.53586492e-01
5	5.47606047e-02	1.51600886e-02	-2.90478424e+00	2.76842972e-01
6	1.94228077e-02	1.03711082e-02	-3.94130725e+00	5.33965449e-01
7	6.00465666e-03	7.59971196e-03	-5.11522000e+00	1.26563639e+00
8	1.62945344e-03	6.30649635e-03	-6.41951063e+00	3.87031393e+00
9	3.78884820e-04	5.76312817e-03	-7.87827830e+00	1.52107656e+01
10	8.09455800e-05	5.44299430e-03	-9.42173348e+00	6.72426376e+01
11	5.45530000e-06	4.93303255e-03	-1.21189229e+01	9.04264211e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_25.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30729592e-01	7.26664330e-03	-1.85450938e-01	8.74730282e-03
2	5.34707834e-01	1.86397378e-02	-6.26034785e-01	3.48596685e-02
3	2.89336038e-01	2.32602479e-02	-1.24016650e+00	8.03918101e-02
4	1.34982665e-01	2.07006741e-02	-2.00260892e+00	1.53358020e-01
5	5.47520468e-02	1.51917214e-02	-2.90494053e+00	2.77463990e-01
6	1.93874301e-02	1.03697651e-02	-3.94313035e+00	5.34870534e-01
7	5.96649788e-03	7.56643160e-03	-5.12159514e+00	1.26815290e+00
8	1.59870620e-03	6.30349481e-03	-6.43856060e+00	3.94287256e+00
9	3.73262780e-04	5.71878925e-03	-7.89322788e+00	1.53210809e+01
10	9.13604400e-05	5.46324922e-03	-9.30069800e+00	5.97988497e+01
11	-2.71480000e-06	4.90411239e-03	nan	-1.80643598e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_26.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30731255e-01	7.27301459e-03	-1.85448936e-01	8.75495480e-03
2	5.34737871e-01	1.86740020e-02	-6.25978612e-01	3.49217869e-02
3	2.89373570e-01	2.33499411e-02	-1.24003680e+00	8.06913399e-02
4	1.35031444e-01	2.07411139e-02	-2.00224761e+00	1.53602104e-01
5	5.47501345e-02	1.52118783e-02	-2.90497545e+00	2.77841844e-01
6	1.94168411e-02	1.03840538e-02	-3.94161449e+00	5.34796251e-01
7	6.03627978e-03	7.57192890e-03	-5.10996739e+00	1.25440324e+00
8	1.63221380e-03	6.28599922e-03	-6.41781803e+00	3.85121068e+00
9	3.58934460e-04	5.74806384e-03	-7.93237075e+00	1.60142435e+01
10	7.31275800e-05	5.47325890e-03	-9.52330497e+00	7.48453442e+01
11	-6.09290000e-06	4.90666091e-03	nan	-8.05307966e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_27.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30705420e-01	7.27147935e-03	-1.85480036e-01	8.75337897e-03
2	5.34653221e-01	1.86805514e-02	-6.26136927e-01	3.49395658e-02
3	2.89250330e-01	2.33469740e-02	-1.24046277e+00	8.07154621e-02
4	1.34974525e-01	2.07535526e-02	-2.00266922e+00	1.53759034e-01
5	5.48000955e-02	1.51982430e-02	-2.90406334e+00	2.77339717e-01
6	1.94510101e-02	1.03175997e-02	-3.93985628e+00	5.30440304e-01
7	6.00846194e-03	7.51362545e-03	-5.11458648e+00	1.25050729e+00
8	1.62312894e-03	6.28283161e-03	-6.42339955e+00	3.87081485e+00
9	3.64268260e-04	5.76640444e-03	-7.91761998e+00	1.58301040e+01
10	5.84316400e-05	5.46914500e-03	-9.74765303e+00	9.35990330e+01
11	1.78620800e-05	4.87836819e-03	-1.09328305e+01	2.73113109e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_28.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30723167e-01	7.26428553e-03	-1.85458672e-01	8.74453226e-03
2	5.34704132e-01	1.86431021e-02	-6.26041710e-01	3.48662017e-02
3	2.89250204e-01	2.32923929e-02	-1.24046321e+00	8.05267985e-02
4	1.34908680e-01	2.07052726e-02	-2.00315718e+00	1.53476208e-01
5	5.47066132e-02	1.51342984e-02	-2.90577068e+00	2.76644769e-01
6	1.93948766e-02	1.03447731e-02	-3.94274634e+00	5.33376589e-01
7	6.01697202e-03	7.53661252e-03	-5.11317113e+00	1.25255901e+00
8	1.62794072e-03	6.30150871e-03	-6.42043942e+00	3.87084654e+00
9	3.75090000e-04	5.76283169e-03	-7.88834456e+00	1.53638639e+01
10	7.12052000e-05	5.47717469e-03	-9.54994471e+00	7.69209929e+01
11	-2.29102800e-05	4.90626432e-03	nan	-2.14151216e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_29.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30693020e-01	7.27762846e-03	-1.85494962e-01	8.76091201e-03
2	5.34630622e-01	1.86736547e-02	-6.26179196e-01	3.49281427e-02
3	2.89231955e-01	2.33144311e-02	-1.24052630e+00	8.06080748e-02
4	1.34924965e-01	2.06890336e-02	-2.00303647e+00	1.53337327e-01
5	5.47233381e-02	1.51798277e-02	-2.90546500e+00	2.77392211e-01
6	1.93955446e-02	1.03595909e-02	-3.94271190e+00	5.34122194e-01
7	6.05951328e-03	7.55149668e-03	-5.10612580e+00	1.24622166e+00
8	1.67008822e-03	6.29604514e-03	-6.39487883e+00	3.76988776e+00
9	4.22054580e-04	5.73346460e-03	-7.77037592e+00	1.35846520e+01
10	9.93810600e-05	5.44957025e-03	-9.21654901e+00	5.48350989e+01
11	-1.55152400e-05	4.91242189e-03	nan	-3.16619136e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_30.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30770207e-01	7.25088395e-03	-1.85402049e-01	8.72790561e-03
2	5.34841581e-01	1.86269986e-02	-6.25784687e-01	3.48271325e-02
3	2.89446065e-01	2.33280656e-02	-1.23978630e+00	8.05955526e-02
4	1.35044465e-01	2.07644900e-02	-2.00215118e+00	1.53760393e-01
5	5.47866051e-02	1.51860764e-02	-2.90430955e+00	2.77185935e-01
6	1.93786631e-02	1.03795407e-02	-3.94358266e+00	5.35616962e-01
7	6.04766656e-03	7.57641037e-03	-5.10808277e+00	1.25278242e+00
8	1.62230688e-03	6.28280186e-03	-6.42390614e+00	3.87275795e+00
9	3.91897900e-04	5.77581416e-03	-7.84450921e+00	1.47380585e+01
10	6.64736000e-05	5.46216331e-03	-9.61870568e+00	8.21704151e+01
11	-3.87550000e-06	4.91311456e-03	nan	-1.26773695e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_31.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30696153e-01	7.26000481e-03	-1.85491192e-01	8.73966346e-03
2	5.34621351e-01	1.86004364e-02	-6.26196538e-01	3.47917949e-02
3	2.89168792e-01	2.32197236e-02	-1.24074470e+00	8.02981657e-02
4	1.34878601e-01	2.06537803e-02	-2.00338015e+00	1.53128666e-01
5	5.47319203e-02	1.51462591e-02	-2.90530819e+00	2.76735386e-01
6	1.93610220e-02	1.03326456e-02	-3.94449341e+00	5.33682859e-01
7	6.01608006e-03	7.55872142e-03	-5.11331938e+00	1.25641969e+00
8	1.65546374e-03	6.27320471e-03	-6.40367410e+00	3.78939421e+00
9	3.86046660e-04	5.77271104e-03	-7.85955231e+00	1.49534024e+01
10	1.01109480e-04	5.41808626e-03	-9.19930667e+00	5.35863329e+01
11	-1.90051000e-05	4.89867377e-03	nan	-2.57755748e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_4.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30635256e-01	7.25772313e-03	-1.85564502e-01	8.73755728e-03
2	5.34484511e-01	1.86010920e-02	-6.26452528e-01	3.48019290e-02
3	2.89053792e-01	2.32334340e-02	-1.24114248e+00	8.03775446e-02
4	1.34780766e-01	2.06605341e-02	-2.00410577e+00	1.53289929e-01
5	5.46638758e-02	1.51048118e-02	-2.90655219e+00	2.76321640e-01
6	1.93179310e-02	1.03226181e-02	-3.94672155e+00	5.34354226e-01
7	5.95455612e-03	7.54108195e-03	-5.12359862e+00	1.26643898e+00
8	1.57654422e-03	6.28553874e-03	-6.45252003e+00	3.98690926e+00
9	3.92106000e-04	5.74691277e-03	-7.84397835e+00	1.46565285e+01
10	6.65637200e-05	5.43205989e-03	-9.61735087e+00	8.16069158e+01
11	1.20338800e-05	4.89530305e-03	-1.13277846e+01	4.06793407e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_5.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30691655e-01	7.29349740e-03	-1.85496606e-01	8.78002970e-03
2	5.34634797e-01	1.87022730e-02	-6.26171388e-01	3.49813987e-02
3	2.89203897e-01	2.32921102e-02	-1.24062331e+00	8.05387149e-02
4	1.34858239e-01	2.06595998e-02	-2.00353114e+00	1.53194940e-01
5	5.46761948e-02	1.50838100e-02	-2.90632686e+00	2.75875270e-01
6	1.93920952e-02	1.02773083e-02	-3.94288976e+00	5.29974105e-01
7	6.01479250e-03	7.52536205e-03	-5.11353343e+00	1.25114242e+00
8	1.61258162e-03	6.26722555e-03	-6.42991889e+00	3.88645479e+00
9	3.82251220e-04	5.72244425e-03	-7.86943252e+00	1.49703754e+01
10	6.99361000e-05	5.47512117e-03	-9.56792859e+00	7.82874819e+01
11	2.92747600e-05	4.91628744e-03	-1.04387848e+01	1.67936046e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_6.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30743571e-01	7.23326022e-03	-1.85434111e-01	8.70697105e-03
2	5.34749216e-01	1.85737141e-02	-6.25957397e-01	3.47335040e-02
3	2.89359380e-01	2.32098317e-02	-1.24008583e+00	8.02110914e-02
4	1.34944417e-01	2.06568301e-02	-2.00289231e+00	1.53076583e-01
5	5.47083310e-02	1.51004799e-02	-2.90573928e+00	2.76017922e-01
6	1.92922781e-02	1.03235292e-02	-3.94805036e+00	5.35111985e-01
7	5.89582726e-03	7.54332544e-03	-5.13351042e+00	1.27943461e+00
8	1.58977478e-03	6.28826185e-03	-6.44416292e+00	3.95544195e+00
9	3.68257940e-04	5.73000786e-03	-7.90672694e+00	1.55597673e+01
10	1.05950460e-04	5.44913242e-03	-9.15253893e+00	5.14309463e+01
11	-1.18919400e-05	4.90518265e-03	nan	-4.12479600e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_7.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30745979e-01	7.27678952e-03	-1.85431212e-01	8.75934365e-03
2	5.34741166e-01	1.86718059e-02	-6.25972452e-01	3.49174650e-02
3	2.89333918e-01	2.33641071e-02	-1.24017383e+00	8.07513593e-02
4	1.35021840e-01	2.07722400e-02	-2.00231873e+00	1.53843556e-01
5	5.48124286e-02	1.51714928e-02	-2.90383831e+00	2.76789282e-01
6	1.94236579e-02	1.03419437e-02	-3.94126348e+00	5.32440581e-01
7	6.01103168e-03	7.56368481e-03	-5.11415888e+00	1.25830061e+00
8	1.62959892e-03	6.27348770e-03	-6.41942136e+00	3.84971273e+00
9	4.06246960e-04	5.74658457e-03	-7.80854931e+00	1.41455448e+01
10	7.82434400e-05	5.48789559e-03	-9.45568557e+00	7.01387310e+01
11	-8.44126000e-06	4.91110347e-03	nan	-5.81797441e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_8.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30752432e-01	7.24384802e-03	-1.85423445e-01	8.71962301e-03
2	5.34790912e-01	1.86041346e-02	-6.25879427e-01	3.47876791e-02
3	2.89413036e-01	2.32582770e-02	-1.23990042e+00	8.03636121e-02
4	1.35038793e-01	2.06718053e-02	-2.00219319e+00	1.53080495e-01
5	5.48228214e-02	1.51126779e-02	-2.90364872e+00	2.75663993e-01
6	1.94340547e-02	1.03062599e-02	-3.94072836e+00	5.30319590e-01
7	6.02803226e-03	7.52391199e-03	-5.11133465e+00	1.24815390e+00
8	1.60785804e-03	6.28903145e-03	-6.43285240e+00	3.91143452e+00
9	3.51276920e-04	5.71452600e-03	-7.95393570e+00	1.62678664e+01
10	1.56565800e-05	5.44513915e-03	-1.10646193e+01	3.47785989e+02
11	1.74573200e-05	4.90977975e-03	-1.09557515e+01	2.81244759e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO_1/I_9.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30780725e-01	7.23740629e-03	-1.85389387e-01	8.71157222e-03
2	5.34887980e-01	1.85515379e-02	-6.25697937e-01	3.46830339e-02
3	2.89517123e-01	2.31372535e-02	-1.23954084e+00	7.99167013e-02
4	1.35111333e-01	2.05873582e-02	-2.00165615e+00	1.52373290e-01
5	5.48400237e-02	1.50215799e-02	-2.90333499e+00	2.73916364e-01
6	1.94244794e-02	1.02296060e-02	-3.94122119e+00	5.26634761e-01
7	6.00919458e-03	7.48449852e-03	-5.11446455e+00	1.24550777e+00
8	1.60893138e-03	6.29647357e-03	-6.43218506e+00	3.91345066e+00
9	3.67885500e-04	5.74242042e-03	-7.90773881e+00	1.56092600e+01
10	1.14239840e-04	5.46176297e-03	-9.07721046e+00	4.78096168e+01
11	-3.16158000e-05	4.92438199e-03	nan	-1.55756995e+02

