----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30737076e-01	7.28460329e-03	-1.85441929e-01	8.76884336e-03
2	5.34788596e-01	1.86565551e-02	-6.25883758e-01	3.48858508e-02
3	2.89429967e-01	2.32941329e-02	-1.23984192e+00	8.04827957e-02
4	1.35030607e-01	2.06881574e-02	-2.00225381e+00	1.53210875e-01
5	5.47765103e-02	1.51476637e-02	-2.90449382e+00	2.76535755e-01
6	1.93919846e-02	1.03251834e-02	-3.94289546e+00	5.32445936e-01
7	5.93917314e-03	7.56867352e-03	-5.12618536e+00	1.27436486e+00
8	1.62331068e-03	6.29054283e-03	-6.42328759e+00	3.87513180e+00
9	4.54095920e-04	5.78738087e-03	-7.69720210e+00	1.27448422e+01
10	9.66261400e-05	5.46328489e-03	-9.24466125e+00	5.65404444e+01
11	3.87105400e-05	4.90701565e-03	-1.01593986e+01	1.26761746e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_5.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30721668e-01	7.27715735e-03	-1.85460477e-01	8.76004278e-03
2	5.34715658e-01	1.86574248e-02	-6.26020154e-01	3.48922357e-02
3	2.89338739e-01	2.32882574e-02	-1.24015717e+00	8.04878652e-02
4	1.34968937e-01	2.06576201e-02	-2.00271063e+00	1.53054626e-01
5	5.47040493e-02	1.51246636e-02	-2.90581754e+00	2.76481610e-01
6	1.93342987e-02	1.03052682e-02	-3.94587462e+00	5.33004499e-01
7	5.99370874e-03	7.51460282e-03	-5.11704490e+00	1.25374841e+00
8	1.58529798e-03	6.31276146e-03	-6.44698289e+00	3.98206617e+00
9	3.62966180e-04	5.77048429e-03	-7.92120090e+00	1.58981321e+01
10	6.63219000e-05	5.47655816e-03	-9.62099040e+00	8.25754112e+01
11	-7.82266000e-06	4.92833971e-03	nan	-6.30008170e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_6.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30760436e-01	7.27900489e-03	-1.85413809e-01	8.76185790e-03
2	5.34829954e-01	1.86853372e-02	-6.25806426e-01	3.49369683e-02
3	2.89500692e-01	2.33687465e-02	-1.23959759e+00	8.07208658e-02
4	1.35154169e-01	2.08041374e-02	-2.00133916e+00	1.53928936e-01
5	5.48406804e-02	1.52142049e-02	-2.90332302e+00	2.77425531e-01
6	1.93858236e-02	1.03297760e-02	-3.94321322e+00	5.32852061e-01
7	5.99888070e-03	7.55415043e-03	-5.11618238e+00	1.25925999e+00
8	1.63829158e-03	6.31341809e-03	-6.41410130e+00	3.85365961e+00
9	4.17717900e-04	5.73099233e-03	-7.78070423e+00	1.37197672e+01
10	1.44742480e-04	5.49103742e-03	-8.84055439e+00	3.79365990e+01
11	-1.60132800e-05	4.91510775e-03	nan	-3.06939474e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_7.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30796139e-01	7.28446851e-03	-1.85370834e-01	8.76805773e-03
2	5.34869519e-01	1.87267886e-02	-6.25732451e-01	3.50118821e-02
3	2.89471049e-01	2.34625913e-02	-1.23969999e+00	8.10533260e-02
4	1.35116514e-01	2.08815176e-02	-2.00161780e+00	1.54544526e-01
5	5.48786907e-02	1.52831342e-02	-2.90263015e+00	2.78489410e-01
6	1.94934601e-02	1.04107192e-02	-3.93767625e+00	5.34062151e-01
7	6.07390836e-03	7.60971297e-03	-5.10375300e+00	1.25285278e+00
8	1.66613470e-03	6.32740231e-03	-6.39724889e+00	3.79765352e+00
9	4.20254860e-04	5.74479342e-03	-7.77464922e+00	1.36697846e+01
10	9.40098200e-05	5.46253550e-03	-9.27211131e+00	5.81060096e+01
11	-1.58864200e-05	4.91060954e-03	nan	-3.09107372e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_8.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30696528e-01	7.32468965e-03	-1.85490740e-01	8.81752771e-03
2	5.34647215e-01	1.87876279e-02	-6.26148161e-01	3.51402334e-02
3	2.89252575e-01	2.34579958e-02	-1.24045501e+00	8.10986583e-02
4	1.34905428e-01	2.08262605e-02	-2.00318128e+00	1.54376743e-01
5	5.47307982e-02	1.51956217e-02	-2.90532869e+00	2.77642975e-01
6	1.93507544e-02	1.03506509e-02	-3.94502387e+00	5.34896503e-01
7	5.95860702e-03	7.58450667e-03	-5.12291855e+00	1.27286573e+00
8	1.61034926e-03	6.33503978e-03	-6.43130419e+00	3.93395392e+00
9	3.80557860e-04	5.74603545e-03	-7.87387233e+00	1.50989798e+01
10	5.32166200e-05	5.43512005e-03	-9.84113980e+00	1.02132004e+02
11	7.48130000e-06	4.88969124e-03	-1.18031040e+01	6.53588446e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_9.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30681846e-01	7.30466425e-03	-1.85508414e-01	8.79357636e-03
2	5.34618918e-01	1.87622246e-02	-6.26201088e-01	3.50945766e-02
3	2.89160603e-01	2.34568998e-02	-1.24077303e+00	8.11206629e-02
4	1.34843568e-01	2.08974663e-02	-2.00363993e+00	1.54975626e-01
5	5.46816377e-02	1.52365880e-02	-2.90622732e+00	2.78641764e-01
6	1.92701403e-02	1.03606877e-02	-3.94919851e+00	5.37655019e-01
7	5.89941672e-03	7.56991949e-03	-5.13290179e+00	1.28316406e+00
8	1.62105298e-03	6.29016050e-03	-6.42467935e+00	3.88029298e+00
9	4.03099400e-04	5.77403751e-03	-7.81632738e+00	1.43241035e+01
10	6.54724000e-05	5.47514059e-03	-9.63388188e+00	8.36251701e+01
11	2.27484600e-05	4.89768559e-03	-1.06910131e+01	2.15297457e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30743922e-01	7.27086219e-03	-1.85433688e-01	8.75223037e-03
2	5.34766416e-01	1.86447068e-02	-6.25925234e-01	3.48651416e-02
3	2.89403329e-01	2.32727039e-02	-1.23993396e+00	8.04161583e-02
4	1.35053923e-01	2.07099364e-02	-2.00208115e+00	1.53345686e-01
5	5.48105019e-02	1.51827374e-02	-2.90387346e+00	2.77004167e-01
6	1.93521882e-02	1.03673146e-02	-3.94494978e+00	5.35717952e-01
7	5.96152534e-03	7.58740819e-03	-5.12242890e+00	1.27272934e+00
8	1.64029804e-03	6.30556378e-03	-6.41287732e+00	3.84415736e+00
9	3.68095620e-04	5.72860270e-03	-7.90716782e+00	1.55628114e+01
10	6.56700000e-06	5.45736468e-03	-1.19334535e+01	8.31028579e+02
11	1.31276400e-05	4.91479574e-03	-1.12407906e+01	3.74385323e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_1.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30695034e-01	7.23606798e-03	-1.85492538e-01	8.71085980e-03
2	5.34646157e-01	1.85902914e-02	-6.26150140e-01	3.47712055e-02
3	2.89200401e-01	2.32325926e-02	-1.24063540e+00	8.03338878e-02
4	1.34906796e-01	2.06378048e-02	-2.00317114e+00	1.52978245e-01
5	5.47330692e-02	1.50913355e-02	-2.90528720e+00	2.75726096e-01
6	1.93630452e-02	1.02849874e-02	-3.94438892e+00	5.31165801e-01
7	5.95344266e-03	7.51417768e-03	-5.12378563e+00	1.26215672e+00
8	1.60832776e-03	6.29532966e-03	-6.43256030e+00	3.91420817e+00
9	3.65958940e-04	5.75286371e-03	-7.91298942e+00	1.57199704e+01
