# tiempo	energia_plaqueta	w10	magnetizacion
579	0.828993	-0.002025	-0.001399
580	0.823785	-0.008198	0.000723
581	0.821566	0.002218	0.004244
582	0.834298	0.000289	0.001929
583	0.840567	-0.004051	0.004919
584	0.834008	-0.013985	0.003183
585	0.830247	-0.003086	-0.000675
586	0.827257	-0.004630	-0.002025
587	0.833333	0.004437	0.001784
588	0.837481	0.000868	0.000916
589	0.839603	-0.002604	0.001833
590	0.825521	0.000000	0.001399
591	0.830440	0.001929	0.002604
592	0.823399	0.005787	0.001302
593	0.824846	0.002508	-0.001447
594	0.826775	-0.006752	-0.000289
595	0.823592	-0.003665	0.001350
596	0.816262	0.001157	-0.002701
597	0.820023	0.000868	-0.002556
598	0.819541	0.001350	-0.002218
599	0.821566	-0.009645	-0.007137
600	0.821470	0.002797	0.002267
601	0.822049	0.003569	-0.002170
602	0.822049	0.002508	-0.006221
603	0.825039	0.008584	-0.007427
604	0.817130	0.002122	-0.008198
605	0.822049	-0.002122	-0.006752
606	0.828221	0.002411	-0.009934
607	0.830826	-0.000096	-0.010851
608	0.823785	-0.004630	-0.008922
609	0.819734	0.006462	-0.008247
610	0.816454	0.003472	-0.004437
611	0.814140	0.000193	-0.003183
612	0.813850	0.004533	-0.004533
613	0.819252	0.005208	-0.004630
614	0.818866	-0.008681	-0.005980
615	0.812211	0.004147	-0.002267
616	0.815201	-0.002122	-0.001543
617	0.816165	-0.006944	-0.000048
618	0.823785	0.004147	0.001495
619	0.824267	0.006944	0.004967
620	0.826582	-0.005208	0.001061
621	0.834298	-0.000772	0.002894
622	0.835648	-0.004919	0.000289
623	0.830826	-0.006173	-0.002363
624	0.829090	0.000193	-0.002459
625	0.834587	-0.004630	0.001302
626	0.824556	-0.000289	0.001350
627	0.828897	0.006752	-0.000675
628	0.828414	-0.000868	-0.002604
629	0.830536	0.001447	-0.006269
630	0.821663	0.002218	-0.000627
631	0.828125	-0.002508	-0.003328
632	0.830633	-0.003665	-0.004774
633	0.826582	-0.002797	-0.005883
634	0.829090	0.006848	-0.003665
635	0.829861	0.007620	-0.004340
636	0.827643	-0.016397	-0.001640
637	0.830922	0.000289	-0.003665
638	0.825907	0.007716	-0.000434
639	0.825231	0.005980	-0.004967
640	0.827739	0.003376	-0.002845
641	0.833430	0.003762	-0.002556
642	0.830922	-0.006752	-0.006028
643	0.835166	0.000868	-0.007813
644	0.834105	-0.000482	-0.007861
645	0.834491	0.000386	-0.007813
646	0.835359	0.005208	-0.011236
647	0.831115	-0.005401	-0.009115
648	0.832176	-0.000868	-0.007330
649	0.836613	0.002701	-0.007234
650	0.837770	0.001929	-0.007234
651	0.837191	-0.000386	-0.009066
652	0.833140	0.005112	-0.005015
653	0.827932	-0.001350	-0.003520
654	0.827932	-0.006366	-0.000675
655	0.822724	-0.003086	-0.002604
656	0.824846	-0.012249	0.001881
657	0.818576	0.002894	0.000482
658	0.823302	0.002701	-0.001784
659	0.823592	-0.013696	-0.004340
660	0.821277	0.000579	-0.002942
661	0.822338	-0.004147	0.000868
662	0.817998	-0.001543	0.006366
663	0.822917	0.003279	0.003617
664	0.825328	-0.011767	0.004726
665	0.827064	0.006366	0.003279
666	0.827932	-0.009742	0.008584
667	0.822820	-0.004340	0.001977
668	0.823399	0.007620	0.003328
669	0.824171	0.005015	0.003038
670	0.826292	-0.000868	0.002845
671	0.826100	-0.000482	0.004099
672	0.825617	-0.005594	0.002508
673	0.824942	0.005208	0.001447
674	0.827546	0.001543	0.001254
675	0.825714	0.008873	-0.001157
